Team,EloRating
ALB,629.3859407448476
ANC,1693.7755442756827
AUG,1437.270311074419
BAK,798.0659791003704
BOI,1077.8679180166896
CHM,934.3922344506046
DES,864.4185368967018
DOV,1154.420285145591
EUG,915.7794601282694
FAR,1532.233381304298
FOR,833.1980521416028
JAC,1434.1065499006195
LAR,1427.2976327820822
LEX,825.223502587637
LRO,1123.1116617808282
MAN,748.0178139609149
MOB,806.167117905268
OAK,1283.0530615065734
PRO,1224.8206672211352
REN,947.8156248360613
SAS,1072.380415087227
SFS,1228.6664520623247
SJU,286.1325498097652
SPR,1310.2609252247546
TAC,128.53614439144542
TOL,1033.5940237752734
TUC,571.7740665527725
WIC,678.2341473362395
